datasetkey	datasetname	publisher	COUNT(*)
962f59bc-f762-11e1-a439-00145eb45e9a	PBEPT Hobscheid	National Museum of Natural History, Luxembourg	5
a254720a-6dda-4c51-a61f-b21277c1fd0c	Management actions in West Flanders, Belgium	Province West Flanders	5
bb5b30b4-827e-4d5e-a86a-825d65cb6583	Kallo, Kattendijk Fm.	Paleobiology Database	5
ea95fd9b-58dc-4e48-b51f-9380e9804607	Invasive species - American bullfrog (Lithobates catesbeiana) in Flanders, Belgium	Research Institute for Nature and Forest (INBO)	5
ea233ece-c4fb-4fb8-bf98-f16235c4144c		Naturalis Biodiversity Center	4
8e9974a4-12e2-475f-9aec-5abdf24a1f50		UAR PatriNat (OFB-MNHN-CNRS-IRD), Paris	4
7d8ed137-1d30-42f1-8b78-12a4957e4690		SysTax	4
962f59bc-f762-11e1-a439-00145eb45e9a	Data from agreements and authorisations	National Museum of Natural History, Luxembourg	4
264e6a66-9c9e-4115-9aec-29d694c68097		University of Oslo	3
96653d3e-f762-11e1-a439-00145eb45e9a		Senckenberg	3
a690abd3-4118-4c47-8b13-e2e1e22b7a85	Oology (Luomus)	Finnish Museum of Natural History - Zoology Unit	3
7c7686bf-3c91-4d95-9561-e977e366e92b	Zoological collections, Bergen	University of Bergen	3
7557f69d-22f8-4cd8-9168-16d60f7170fd	Kartografie der Kleingewässer des Grossherzogtums Luxemburg	National Museum of Natural History, Luxembourg	3
3c2eb73a-82c8-4373-956f-1cb9473f76ba		Natuurmuseum Brabant	3
717b3b87-0ebd-46b4-812b-4a29786798d9		The University Museum of Zoology, Cambridge	3
be5507b9-7abf-4b69-afe1-5ca2b7561734	Bird Main	University of Michigan Museum of Zoology	3
4b15eab0-67e6-42c6-bc1a-9bb44354d837	Linnuvaatlused, Kristjan Adojaan	Estonian Ornithological Society (BirdLife Estonia)	3
829cf3b4-f762-11e1-a439-00145eb45e9a		Botanic Garden and Botanical Museum Berlin	3
c9198eaf-f909-4502-9bcd-4e83452fb245	Dëmpelkart Petange	National Museum of Natural History, Luxembourg	3
962f59bc-f762-11e1-a439-00145eb45e9a	Bird collections MNHNL	National Museum of Natural History, Luxembourg	3
4718437d-76c6-432b-9883-4b9a253ac53f	INBO collaborator Occurrences of invertebrates recorded in waarnemingen.be in Flanders, Belgium	Research Institute for Nature and Forest (INBO)	2
ce416850-8934-11dc-9962-b8a03c50a862	Ghent university - Zoology Museum - Insect Collection	Ghent University	2
